listing_id,url,title,make,model,year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,city,assembly,registered_in,seller_type,car_age,mileage_per_year,price_per_cc,is_imported,listing_province,registered_province,registered_matches_listing
11867950.0,https://www.pakwheels.com/used-cars/suzuki-bolan-2019-for-sale-in-chakwal-11867950,Suzuki Bolan 2019 for sale in Chakwal,Suzuki,Bolan,2019,1750000.0,100000.0,Petrol,Manual,800.0,Chakwal,Local,Punjab,Dealer,7,14285.714285714286,2187.5,0.0,Punjab,Punjab,True
11867478.0,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-karachi-11867478,Suzuki Alto 2006 for sale in Karachi,Suzuki,Alto,2006,800000.0,100000.0,Petrol,Manual,1000.0,Karachi,Local,Karachi,Dealer,20,5000.0,800.0,0.0,Sindh,Sindh,True
11867954.0,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-karachi-11867954,Honda Civic 2004 for sale in Karachi,Honda,Civic,2004,1550000.0,160000.0,Petrol,Automatic,1500.0,Karachi,Imported,Karachi,Dealer,22,7272.727272727273,1033.3333333333333,1.0,Sindh,Sindh,True
11834017.0,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-karachi-11834017,Suzuki Alto 2021 for sale in Karachi,Suzuki,Alto,2021,2775000.0,42000.0,Petrol,Automatic,660.0,Karachi,Local,Sindh,Dealer,5,8400.0,4204.545454545455,0.0,Sindh,Sindh,True
11867942.0,https://www.pakwheels.com/used-cars/honda-accord-2003-for-sale-in-lahore-11867942,Honda Accord 2003 for sale in Lahore,Honda,Accord,2003,2500000.0,146000.0,Petrol,Automatic,2400.0,Lahore,Imported,Lahore,Dealer,23,6347.826086956522,1041.6666666666667,1.0,Punjab,Punjab,True
11867946.0,https://www.pakwheels.com/used-cars/mercedes-benz-clk-class-2008-for-sale-in-karachi-11867946,Mercedes Benz CLK Class 2008 for sale in Karachi,Mercedes Benz,CLK Class,2008,6500000.0,14227.0,Petrol,Automatic,1800.0,Karachi,Imported,Sindh,Dealer,18,790.3888888888889,3611.1111111111113,1.0,Sindh,Sindh,True
11867945.0,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-lahore-11867945,Honda Civic 2005 for sale in Lahore,Honda,Civic,2005,1750000.0,283917.0,Petrol,Automatic,1600.0,Lahore,Local,Punjab,Dealer,21,13519.857142857143,1093.75,0.0,Punjab,Punjab,True
11867943.0,https://www.pakwheels.com/used-cars/suzuki-cultus-2013-for-sale-in-karachi-11867943,Suzuki Cultus 2013 for sale in Karachi,Suzuki,Cultus,2013,1400000.0,97000.0,Petrol,Manual,1000.0,Karachi,Local,Sindh,Dealer,13,7461.538461538462,1400.0,0.0,Sindh,Sindh,True
11867941.0,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-11867941,Honda City 2016 for sale in Lahore,Honda,City,2016,3350000.0,140000.0,Petrol,Manual,1300.0,Lahore,Local,Lahore,Dealer,10,14000.0,2576.923076923077,0.0,Punjab,Punjab,True
11867938.0,https://www.pakwheels.com/used-cars/suzuki-alto-2015-for-sale-in-islamabad-11867938,Suzuki Alto 2015 for sale in Islamabad,Suzuki,Alto,2015,2960000.0,137000.0,Petrol,Automatic,660.0,Islamabad,Imported,Islamabad,Dealer,11,12454.545454545454,4484.848484848485,1.0,Islamabad,Islamabad,True
11867923.0,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-islamabad-11867923,Honda City 2019 for sale in Islamabad,Honda,City,2019,3850000.0,86000.0,Petrol,Manual,1300.0,Islamabad,Local,Islamabad,Dealer,7,12285.714285714286,2961.5384615384614,0.0,Islamabad,Islamabad,True
11867622.0,https://www.pakwheels.com/used-cars/toyota-vitz-2007-for-sale-in-rawalpindi-11867622,Toyota Vitz 2007 for sale in Rawalpindi,Toyota,Vitz,2007,2125000.0,244951.0,Petrol,Automatic,1000.0,Rawalpindi,Imported,Islamabad,Dealer,19,12892.157894736842,2125.0,1.0,Punjab,Islamabad,False
11867937.0,https://www.pakwheels.com/used-cars/daihatsu-mira-2023-for-sale-in-karachi-11867937,Daihatsu Mira 2023 for sale in Karachi,Daihatsu,Mira,2023,4000000.0,22570.0,Petrol,Automatic,660.0,Karachi,Imported,Karachi,Dealer,3,7523.333333333333,6060.606060606061,1.0,Sindh,Sindh,True
11867934.0,https://www.pakwheels.com/used-cars/hyundai-santro-2004-for-sale-in-faisalabad-11867934,Hyundai Santro 2004 for sale in Faisalabad,Hyundai,Santro,2004,950000.0,100000.0,Petrol,Manual,1000.0,Faisalabad,Local,Faisalabad,Dealer,22,4545.454545454545,950.0,0.0,Punjab,Punjab,True
11867935.0,https://www.pakwheels.com/used-cars/suzuki-cultus-2008-for-sale-in-karachi-11867935,Suzuki Cultus 2008 for sale in Karachi,Suzuki,Cultus,2008,1050000.0,430000.0,Petrol,Manual,1000.0,Karachi,Local,Sindh,Dealer,18,23888.88888888889,1050.0,0.0,Sindh,Sindh,True
11845012.0,https://www.pakwheels.com/used-cars/mitsubishi-pajero-2004-for-sale-in-islamabad-11845012,Mitsubishi Pajero 2004 for sale in Islamabad,Mitsubishi,Pajero,2004,7500000.0,70000.0,Petrol,Automatic,3500.0,Islamabad,Imported,Islamabad,Dealer,22,3181.818181818182,2142.8571428571427,1.0,Islamabad,Islamabad,True
